,First,Last,Nickname,Ht.,Wt.,Reach,Ht. (m),Wt. (kg),Reach. (cm),Stance,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,W,L,D
3319,Chris,Saunders,The So Cal Kid,"5' 8""",155 lbs.,--,1.73,70.45,,,"Mar11,1986",1.48,22.0,2.96,75.0,3.7,100.0,0.0,0.0,16,8,0
3320,Lumumba,Sayers,,"6' 0""",185 lbs.,--,1.83,84.09,,,"Jun30,1978",2.54,41.0,2.37,48.0,7.63,75.0,0.0,2.5,6,5,0
3321,Matt,Sayles,,"5' 7""",155 lbs.,"68.0""",1.7,70.45,172.72,Orthodox,"Feb21,1994",4.83,41.0,2.81,61.0,0.36,16.0,81.0,0.7,8,4,0
3322,Brandon,Sayles,Man of War,"6' 5""",265 lbs.,--,1.96,120.45,,,"Apr23,1981",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
3323,Mark,Scanlon,,"5' 9""",170 lbs.,--,1.75,77.27,,Orthodox,--,2.2,35.0,3.33,48.0,3.0,75.0,25.0,2.0,9,2,0
3324,Eric,Schafer,Red,"6' 3""",185 lbs.,"76.0""",1.91,84.09,193.04,Orthodox,"Sep20,1977",1.89,34.0,3.38,56.0,1.81,36.0,50.0,1.8,14,8,2
3325,Kerry,Schall,Meat Truck,"6' 2""",265 lbs.,--,1.88,120.45,,Orthodox,"Aug09,1971",0.94,11.0,4.84,63.0,0.0,0.0,0.0,0.0,24,13,0
3326,Eric,Schambari,,"5' 11""",185 lbs.,--,1.8,84.09,,Orthodox,"Apr22,1978",1.43,42.0,1.07,54.0,3.0,42.0,0.0,1.0,15,6,0
3327,Brendan,Schaub,Big Brown,"6' 4""",245 lbs.,"78.0""",1.93,111.36,198.12,Orthodox,"Mar18,1983",2.92,37.0,2.22,57.0,2.32,46.0,72.0,0.4,10,5,0
3328,Matheus,Scheffel,Buffa,"6' 2""",205 lbs.,"75.0""",1.88,93.18,190.5,Orthodox,"Nov04,1992",1.33,36.0,3.0,47.0,0.0,0.0,100.0,0.0,14,7,0
3329,Antonio,Schembri,Nino,"5' 9""",205 lbs.,--,1.75,93.18,,Orthodox,"Jun01,1974",0.72,26.0,2.12,55.0,1.31,40.0,0.0,0.4,5,5,0
3330,Fabiano,Scherner,Pegaleve,"6' 3""",257 lbs.,--,1.91,116.82,,Orthodox,"Jun30,1972",1.31,31.0,3.2,38.0,1.09,33.0,40.0,0.0,11,10,0
3331,Samy,Schiavo,,"5' 8""",155 lbs.,--,1.73,70.45,,Orthodox,"Dec24,1975",1.68,34.0,2.62,38.0,0.94,50.0,66.0,0.9,10,6,0
